"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie automobile (NAF rév. 2, niveau A64, poste CL1)";"Codes"
"idBank";"010768301";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"105.08";"A"
"2025-02";"101.72";"A"
"2025-01";"99.55";"A"
"2024-12";"94.55";"A"
"2024-11";"104.28";"A"
"2024-10";"97.92";"A"
"2024-09";"101.15";"A"
"2024-08";"102.11";"A"
"2024-07";"99.43";"A"
"2024-06";"102.22";"A"
"2024-05";"98.9";"A"
"2024-04";"106.41";"A"
"2024-03";"102.61";"A"
"2024-02";"104.9";"A"
"2024-01";"106.6";"A"
"2023-12";"113.88";"A"
"2023-11";"115.67";"A"
"2023-10";"122.63";"A"
"2023-09";"112.9";"A"
"2023-08";"113.61";"A"
"2023-07";"123.57";"A"
"2023-06";"119.4";"A"
"2023-05";"124.1";"A"
"2023-04";"113.16";"A"
"2023-03";"119.55";"A"
"2023-02";"119.19";"A"
"2023-01";"115.25";"A"
"2022-12";"115.81";"A"
"2022-11";"114.31";"A"
"2022-10";"112.44";"A"
"2022-09";"121.83";"A"
"2022-08";"119.32";"A"
"2022-07";"103.5";"A"
"2022-06";"105.39";"A"
"2022-05";"106.21";"A"
"2022-04";"90.84";"A"
"2022-03";"88.74";"A"
"2022-02";"95.75";"A"
"2022-01";"103.03";"A"
"2021-12";"105.35";"A"
"2021-11";"95.9";"A"
"2021-10";"93.72";"A"
"2021-09";"90.54";"A"
"2021-08";"92.33";"A"
"2021-07";"93.18";"A"
"2021-06";"94.4";"A"
"2021-05";"93.56";"A"
"2021-04";"105.52";"A"
"2021-03";"108.44";"A"
"2021-02";"111.12";"A"
"2021-01";"115.94";"A"
"2020-12";"117.29";"A"
"2020-11";"117.84";"A"
"2020-10";"131.22";"A"
"2020-09";"127.15";"A"
"2020-08";"107.62";"A"
"2020-07";"101.65";"A"
"2020-06";"83.98";"A"
"2020-05";"45.85";"A"
"2020-04";"9.32";"A"
"2020-03";"72.53";"A"
"2020-02";"124.16";"A"
"2020-01";"121.88";"A"
"2019-12";"123.79";"A"
"2019-11";"130.62";"A"
"2019-10";"131.44";"A"
"2019-09";"130.31";"A"
"2019-08";"129.57";"A"
"2019-07";"136.77";"A"
"2019-06";"138.05";"A"
"2019-05";"144.62";"A"
"2019-04";"139.2";"A"
"2019-03";"142.74";"A"
"2019-02";"141.12";"A"
"2019-01";"142.16";"A"
"2018-12";"139.06";"A"
"2018-11";"133.63";"A"
"2018-10";"136.69";"A"
"2018-09";"134.89";"A"
"2018-08";"135.65";"A"
"2018-07";"139.9";"A"
"2018-06";"138.91";"A"
"2018-05";"138.72";"A"
"2018-04";"141.08";"A"
"2018-03";"140.71";"A"
"2018-02";"139.02";"A"
"2018-01";"139.54";"A"
"2017-12";"145.16";"A"
"2017-11";"144.0";"A"
"2017-10";"144.77";"A"
"2017-09";"144.61";"A"
"2017-08";"133.51";"A"
"2017-07";"138.99";"A"
"2017-06";"134.4";"A"
"2017-05";"136.98";"A"
"2017-04";"127.13";"A"
"2017-03";"135.86";"A"
"2017-02";"129.39";"A"
"2017-01";"128.55";"A"
"2016-12";"135.2";"A"
"2016-11";"135.79";"A"
"2016-10";"126.72";"A"
"2016-09";"126.44";"A"
"2016-08";"135.79";"A"
"2016-07";"126.05";"A"
"2016-06";"129.61";"A"
"2016-05";"127.43";"A"
"2016-04";"132.35";"A"
"2016-03";"125.6";"A"
"2016-02";"127.48";"A"
"2016-01";"128.54";"A"
"2015-12";"122.36";"A"
"2015-11";"127.59";"A"
"2015-10";"127.12";"A"
"2015-09";"125.26";"A"
"2015-08";"135.59";"A"
"2015-07";"120.13";"A"
"2015-06";"121.91";"A"
"2015-05";"121.11";"A"
"2015-04";"124.62";"A"
"2015-03";"120.43";"A"
"2015-02";"121.79";"A"
"2015-01";"117.81";"A"
"2014-12";"112.42";"A"
"2014-11";"111.88";"A"
"2014-10";"114.22";"A"
"2014-09";"117.73";"A"
"2014-08";"118.97";"A"
"2014-07";"117.53";"A"
"2014-06";"116.78";"A"
"2014-05";"113.93";"A"
"2014-04";"114.35";"A"
"2014-03";"115.15";"A"
"2014-02";"116.45";"A"
"2014-01";"115.44";"A"
"2013-12";"116.77";"A"
"2013-11";"117.52";"A"
"2013-10";"114.46";"A"
"2013-09";"112.63";"A"
"2013-08";"101.35";"A"
"2013-07";"104.88";"A"
"2013-06";"113.02";"A"
"2013-05";"115.63";"A"
"2013-04";"115.3";"A"
"2013-03";"109.42";"A"
"2013-02";"102.68";"A"
"2013-01";"104.48";"A"
"2012-12";"110.41";"A"
"2012-11";"107.66";"A"
"2012-10";"108.12";"A"
"2012-09";"116.24";"A"
"2012-08";"119.01";"A"
"2012-07";"119.62";"A"
"2012-06";"118.52";"A"
"2012-05";"120.42";"A"
"2012-04";"120.51";"A"
"2012-03";"125.0";"A"
"2012-02";"125.23";"A"
"2012-01";"129.53";"A"
"2011-12";"128.61";"A"
"2011-11";"135.11";"A"
"2011-10";"131.0";"A"
"2011-09";"124.68";"A"
"2011-08";"125.41";"A"
"2011-07";"132.13";"A"
"2011-06";"135.1";"A"
"2011-05";"142.39";"A"
"2011-04";"133.19";"A"
"2011-03";"138.29";"A"
"2011-02";"142.22";"A"
"2011-01";"139.58";"A"
"2010-12";"135.64";"A"
"2010-11";"135.45";"A"
"2010-10";"130.37";"A"
"2010-09";"129.65";"A"
"2010-08";"119.88";"A"
"2010-07";"126.41";"A"
"2010-06";"123.95";"A"
"2010-05";"122.35";"A"
"2010-04";"123.85";"A"
"2010-03";"130.41";"A"
"2010-02";"123.12";"A"
"2010-01";"124.06";"A"
"2009-12";"123.09";"A"
"2009-11";"122.83";"A"
"2009-10";"126.43";"A"
"2009-09";"125.17";"A"
"2009-08";"125.45";"A"
"2009-07";"117.83";"A"
"2009-06";"114.37";"A"
"2009-05";"105.2";"A"
"2009-04";"102.51";"A"
"2009-03";"90.28";"A"
"2009-02";"90.15";"A"
"2009-01";"94.83";"A"
"2008-12";"85.51";"A"
"2008-11";"103.16";"A"
"2008-10";"130.75";"A"
"2008-09";"143.86";"A"
"2008-08";"145.31";"A"
"2008-07";"162.02";"A"
"2008-06";"154.48";"A"
"2008-05";"158.47";"A"
"2008-04";"177.97";"A"
"2008-03";"165.5";"A"
"2008-02";"173.11";"A"
"2008-01";"175.79";"A"
"2007-12";"175.28";"A"
"2007-11";"167.28";"A"
"2007-10";"176.1";"A"
"2007-09";"160.13";"A"
"2007-08";"168.6";"A"
"2007-07";"164.76";"A"
"2007-06";"166.87";"A"
"2007-05";"173.04";"A"
"2007-04";"169.71";"A"
"2007-03";"174.76";"A"
"2007-02";"173.61";"A"
"2007-01";"162.85";"A"
"2006-12";"161.98";"A"
"2006-11";"162.93";"A"
"2006-10";"162.93";"A"
"2006-09";"166.88";"A"
"2006-08";"164.84";"A"
"2006-07";"166.3";"A"
"2006-06";"174.45";"A"
"2006-05";"182.33";"A"
"2006-04";"168.95";"A"
